accuracy,epoch,step,train_loss,val_loss
,0,49,1.85179603099823,
,0,99,1.6787421703338623,
,0,149,1.7506970167160034,
,0,199,1.4588170051574707,
,0,249,1.6036128997802734,
,0,299,1.6928950548171997,
,0,349,1.359904408454895,
,0,399,1.680280327796936,
,0,449,1.3869125843048096,
,0,499,1.627650499343872,
,0,549,1.4492912292480469,
,0,599,1.469647765159607,
,0,649,1.7098742723464966,
,0,699,1.403613567352295,
,0,749,1.4469096660614014,
,0,799,1.7547637224197388,
,0,849,1.2315709590911865,
,0,899,1.4113640785217285,
,0,949,1.4192471504211426,
,0,999,1.28297758102417,
,0,1049,1.3882166147232056,
,0,1099,1.4270325899124146,
,0,1149,1.3605133295059204,
,0,1199,1.2862173318862915,
,0,1249,1.265577793121338,
,0,1299,1.3821661472320557,
,0,1349,1.1924365758895874,
,0,1399,1.204554557800293,
,0,1449,1.5690984725952148,
,0,1499,1.4161407947540283,
,0,1549,1.245481252670288,
0.6004999876022339,0,1562,,1.113404393196106
,1,1599,1.0562973022460938,
,1,1649,1.5910807847976685,
,1,1699,1.1195451021194458,
,1,1749,1.1233534812927246,
,1,1799,1.093604326248169,
,1,1849,1.2758275270462036,
,1,1899,1.0221747159957886,
,1,1949,1.1626592874526978,
,1,1999,1.0262744426727295,
,1,2049,1.0453513860702515,
,1,2099,1.0464422702789307,
,1,2149,1.0324828624725342,
,1,2199,0.8242297768592834,
,1,2249,0.9405987858772278,
,1,2299,0.8606144785881042,
,1,2349,0.7575042247772217,
,1,2399,1.165880560874939,
,1,2449,1.0522782802581787,
,1,2499,0.7475554943084717,
,1,2549,1.0074576139450073,
,1,2599,0.7396283745765686,
,1,2649,1.0675759315490723,
,1,2699,0.9550325274467468,
,1,2749,1.2167365550994873,
,1,2799,1.0277280807495117,
,1,2849,1.2126415967941284,
,1,2899,0.9080019593238831,
,1,2949,1.1598471403121948,
,1,2999,0.9277657866477966,
,1,3049,1.3570317029953003,
,1,3099,0.6861492395401001,
0.6743000149726868,1,3125,,0.9381073117256165
